time,seconds_elapsed,accel_z,accel_y,accel_x,gyro_z,gyro_y,gyro_x,label
1.72E+18,0.04977099609,0.006403923035,0.1567209363,-0.1421070099,-0.0193943996,0.02794626169,0.01481304597,eating
1.72E+18,0.05976123047,0.002830505371,-0.02632471919,0.07494592667,-0.07437065244,0.03405473381,-0.07070557028,eating
1.72E+18,0.0697512207,0.02800035477,0.2239382863,-0.166888237,-0.09697200358,0.01450762246,-0.09513945878,eating
1.72E+18,0.07974145508,0.09271240234,0.1401547492,-0.1504321098,-0.1214058921,-0.06551336497,-0.07742489129,eating
1.72E+18,0.08973168945,0.1542854309,-0.0353346169,-0.1028628349,-0.1476723254,-0.1571404636,-0.05238015205,eating
1.72E+18,0.09972167969,0.1208152771,-0.1070670485,-0.1276636124,-0.1721062213,-0.2163926363,-0.02183778957,eating
1.72E+18,0.1097119141,0.04191732407,-0.08985516429,-0.2154555321,-0.1831014603,-0.2493783981,0.006872031838,eating
1.72E+18,0.1197019043,0.0006165504456,-0.1061345637,-0.2896780968,-0.1776038408,-0.2677038014,0.020310672,eating
1.72E+18,0.1296921387,-0.1079540253,-0.08444428444,-0.2694811821,-0.1641651988,-0.280531615,0.02519745007,eating
1.72E+18,0.139682373,-0.1801695824,-0.002947121859,-0.2484927177,-0.148894012,-0.2756448388,0.02702999115,eating
1.72E+18,0.1496723633,-0.189031601,0.05099135637,-0.2213673592,-0.1403421611,-0.2664821148,0.0227540601,eating
1.72E+18,0.1596625977,-0.1943283081,0.1292735338,-0.2615585327,-0.1299577504,-0.2609844804,0.01420219894,eating
1.72E+18,0.169652832,-0.1982512474,0.1264011264,-0.2666954994,-0.1171299592,-0.2585411072,0.001985253533,eating
1.72E+18,0.1796428223,-0.1668510437,0.1220106483,-0.2885360718,-0.1036913246,-0.2609844804,-0.0193943996,eating
1.72E+18,0.1896330566,-0.1080713272,0.1357150078,-0.2364807129,-0.1030804738,-0.2719797492,-0.04382828996,eating
1.72E+18,0.1996230469,-0.0841255188,0.09104913473,-0.1591701508,-0.1110214889,-0.280531615,-0.06337540597,eating
1.72E+18,0.2096132813,-0.05032110214,0.1249181628,-0.1227416992,-0.113464877,-0.2823641598,-0.08292251825,eating
1.72E+18,0.2196035156,-0.02105426788,0.06371086836,-0.1017580032,-0.1110214889,-0.2774773538,-0.1091889441,eating
1.72E+18,0.2295935059,0.01722717285,0.005519092083,-0.04930305481,-0.106745556,-0.2652604282,-0.1403421611,eating
1.72E+18,0.2395837402,0.1167516708,-0.05632245541,0.1136608124,-0.1183516532,-0.2506000996,-0.1617218107,eating
1.72E+18,0.2495739746,0.2296948433,-0.09945267439,0.2387328148,-0.1464506239,-0.2371614426,-0.1574458778,eating
1.72E+18,0.2595639648,0.2944149971,-0.09669810534,0.2932128906,-0.1763821393,-0.2286095917,-0.1281252056,eating
1.72E+18,0.2695541992,0.2730374336,-0.09290775657,0.2280273438,-0.1910424829,-0.2060082406,-0.09269607067,eating
1.72E+18,0.2795444336,0.2466011047,-0.08530390263,0.08223390579,-0.1788255423,-0.1785201132,-0.07253811508,eating
1.72E+18,0.2895344238,0.2170391083,-0.09901258349,-0.04462194443,-0.1519482583,-0.146756053,-0.07803573459,eating
